 time       time       v(vin)     v(vout)   
 0.000e+00  0.000e+00  0.000e+00  0.000e+00 
 1.000e-11  1.000e-11  0.000e+00  0.000e+00 
 2.000e-11  2.000e-11  0.000e+00  0.000e+00 
 4.000e-11  4.000e-11  0.000e+00  0.000e+00 
 8.000e-11  8.000e-11  0.000e+00  0.000e+00 
 1.600e-10  1.600e-10  0.000e+00  0.000e+00 
 3.200e-10  3.200e-10  0.000e+00  0.000e+00 
 6.400e-10  6.400e-10  0.000e+00  0.000e+00 
 1.000e-09  1.000e-09  0.000e+00  0.000e+00 
 1.064e-09  1.064e-09  1.152e-01  7.368e-05 
 1.192e-09  1.192e-09  3.456e-01  3.683e-04 
 1.448e-09  1.448e-09  8.064e-01  1.840e-03 
 1.767e-09  1.767e-09  1.380e+00  5.310e-03 
 2.000e-09  2.000e-09  1.800e+00  9.006e-03 
 2.064e-09  2.064e-09  1.800e+00  1.015e-02 
 2.191e-09  2.191e-09  1.800e+00  1.242e-02 
 2.446e-09  2.446e-09  1.800e+00  1.697e-02 
 2.956e-09  2.956e-09  1.800e+00  2.604e-02 
 3.975e-09  3.975e-09  1.800e+00  4.403e-02 
 6.013e-09  6.013e-09  1.800e+00  7.946e-02 
 1.009e-08  1.009e-08  1.800e+00  1.482e-01 
 1.824e-08  1.824e-08  1.800e+00  2.776e-01 
 3.455e-08  3.455e-08  1.800e+00  5.072e-01 
 6.717e-08  6.717e-08  1.800e+00  8.697e-01 
 1.324e-07  1.324e-07  1.800e+00  1.327e+00 
 2.324e-07  2.324e-07  1.800e+00  1.642e+00 
 3.324e-07  3.324e-07  1.800e+00  1.747e+00 
 4.324e-07  4.324e-07  1.800e+00  1.782e+00 
 5.324e-07  5.324e-07  1.800e+00  1.794e+00 
 6.324e-07  6.324e-07  1.800e+00  1.798e+00 
 7.324e-07  7.324e-07  1.800e+00  1.799e+00 
 8.324e-07  8.324e-07  1.800e+00  1.800e+00 
 9.324e-07  9.324e-07  1.800e+00  1.800e+00 
 1.032e-06  1.032e-06  1.800e+00  1.800e+00 
 1.132e-06  1.132e-06  1.800e+00  1.800e+00 
 1.232e-06  1.232e-06  1.800e+00  1.800e+00 
 1.332e-06  1.332e-06  1.800e+00  1.800e+00 
 1.432e-06  1.432e-06  1.800e+00  1.800e+00 
 1.532e-06  1.532e-06  1.800e+00  1.800e+00 
 1.632e-06  1.632e-06  1.800e+00  1.800e+00 
 1.732e-06  1.732e-06  1.800e+00  1.800e+00 
 1.832e-06  1.832e-06  1.800e+00  1.800e+00 
 1.932e-06  1.932e-06  1.800e+00  1.800e+00 
 2.032e-06  2.032e-06  1.800e+00  1.800e+00 
 2.132e-06  2.132e-06  1.800e+00  1.800e+00 
 2.232e-06  2.232e-06  1.800e+00  1.800e+00 
 2.332e-06  2.332e-06  1.800e+00  1.800e+00 
 2.432e-06  2.432e-06  1.800e+00  1.800e+00 
 2.532e-06  2.532e-06  1.800e+00  1.800e+00 
 2.632e-06  2.632e-06  1.800e+00  1.800e+00 
 2.732e-06  2.732e-06  1.800e+00  1.800e+00 
 2.832e-06  2.832e-06  1.800e+00  1.800e+00 
 2.932e-06  2.932e-06  1.800e+00  1.800e+00 
 3.032e-06  3.032e-06  1.800e+00  1.800e+00 
 3.132e-06  3.132e-06  1.800e+00  1.800e+00 
 3.232e-06  3.232e-06  1.800e+00  1.800e+00 
 3.332e-06  3.332e-06  1.800e+00  1.800e+00 
 3.432e-06  3.432e-06  1.800e+00  1.800e+00 
 3.532e-06  3.532e-06  1.800e+00  1.800e+00 
 3.632e-06  3.632e-06  1.800e+00  1.800e+00 
 3.732e-06  3.732e-06  1.800e+00  1.800e+00 
 3.832e-06  3.832e-06  1.800e+00  1.800e+00 
 3.932e-06  3.932e-06  1.800e+00  1.800e+00 
 4.032e-06  4.032e-06  1.800e+00  1.800e+00 
 4.132e-06  4.132e-06  1.800e+00  1.800e+00 
 4.232e-06  4.232e-06  1.800e+00  1.800e+00 
 4.332e-06  4.332e-06  1.800e+00  1.800e+00 
 4.432e-06  4.432e-06  1.800e+00  1.800e+00 
 4.532e-06  4.532e-06  1.800e+00  1.800e+00 
 4.632e-06  4.632e-06  1.800e+00  1.800e+00 
 4.732e-06  4.732e-06  1.800e+00  1.800e+00 
 4.832e-06  4.832e-06  1.800e+00  1.800e+00 
 4.932e-06  4.932e-06  1.800e+00  1.800e+00 
 5.002e-06  5.002e-06  1.800e+00  1.800e+00 
 5.002e-06  5.002e-06  1.620e+00  1.800e+00 
 5.002e-06  5.002e-06  1.260e+00  1.799e+00 
 5.003e-06  5.003e-06  5.400e-01  1.796e+00 
 5.003e-06  5.003e-06  0.000e+00  1.791e+00 
 5.003e-06  5.003e-06  0.000e+00  1.790e+00 
 5.003e-06  5.003e-06  0.000e+00  1.787e+00 
 5.004e-06  5.004e-06  0.000e+00  1.781e+00 
 5.004e-06  5.004e-06  0.000e+00  1.770e+00 
 5.005e-06  5.005e-06  0.000e+00  1.747e+00 
 5.008e-06  5.008e-06  0.000e+00  1.703e+00 
 5.013e-06  5.013e-06  0.000e+00  1.618e+00 
 5.023e-06  5.023e-06  0.000e+00  1.460e+00 
 5.044e-06  5.044e-06  0.000e+00  1.189e+00 
 5.085e-06  5.085e-06  0.000e+00  7.848e-01 
